open,high,low,close,volume
3945.765,3948.14,3941.055,3946.515,8054.0
3946.465,3953.81,3945.19,3950.765,7506.0
3950.74,3953.715,3950.5,3952.68,5264.0
3952.73,3954.07,3950.47,3951.325,4479.0
3951.32,3959.65,3951.135,3959.06,6135.0
3959.095,3963.675,3957.575,3958.385,6310.0
3958.335,3962.995,3957.925,3960.92,4596.0
3960.955,3961.645,3955.265,3955.32,5074.0
3955.31,3958.98,3954.2,3957.085,5009.0
3957.13,3960.005,3956.28,3956.79,4020.0
3956.795,3961.685,3956.28,3958.91,3012.0
3958.925,3962.82,3957.995,3960.175,3273.0
3960.22,3961.79,3959.23,3961.705,2235.0
3961.72,3962.08,3956.625,3957.8,3182.0
3957.795,3966.585,3956.455,3966.045,5052.0
3965.995,3969.325,3962.765,3967.045,4943.0
3966.995,3971.755,3966.735,3970.48,7126.0
3970.47,3972.4,3964.48,3965.955,10147.0
3966.045,3974.3,3965.18,3973.425,8160.0
3973.395,3980.095,3971.735,3979.5,10216.0
3979.38,3985.29,3978.715,3983.42,9786.0
3983.445,3985.65,3977.53,3982.88,9629.0
3982.885,3983.09,3970.415,3972.795,16095.0
3972.735,3981.215,3972.355,3979.33,16851.0
3979.295,3980.745,3969.305,3971.685,17305.0
3971.7,3978.63,3968.775,3978.275,16607.0
3978.27,3986.8,3977.74,3979.54,15243.0
3979.555,3986.765,3979.455,3985.74,12844.0
3985.83,3987.745,3979.1,3986.635,15654.0
3986.655,3991.135,3984.69,3985.065,14365.0
3985.07,3985.52,3971.1,3972.04,13201.0
3972.19,3973.265,3961.75,3966.165,17952.0
3966.195,3976.52,3963.105,3965.15,13166.0
3965.16,3974.1,3964.065,3969.495,13606.0
3969.575,3979.59,3968.535,3977.145,9064.0
3977.085,3978.075,3971.445,3976.825,8629.0
3976.845,3985.425,3976.485,3981.915,8087.0
3981.835,3984.51,3980.03,3980.73,8615.0
3980.955,3986.93,3980.605,3986.355,8024.0
3986.36,3987.855,3980.57,3980.815,8306.0
3980.83,3982.655,3974.155,3982.52,7829.0
3982.535,3984.01,3979.645,3979.995,7327.0
3979.975,3983.09,3978.415,3982.485,12741.0
